rank,name,from,bib,speed,bould,lead,total
1,MESHKOVA Viktoriia,RUS,40,2,6,1,12
2,GEJO Stasa,SRB,39,3,1,5,15
3,ADAMOVSKA Eliska,CZE,35,8,4,2,64
4,CHUDZIAK Patrycja,POL,26,1,8,8,64
5,CAULIER Chloe,BEL,38,5,2,7,70
6,KRASOVSKAIA Elena,RUS,36,4,3,6,72
7,MEUL Hannah,GER,34,6,5,4,120
8,THOMPSON-SMITH Molly,GBR,31,7,7,3,147
