rank,name,from,bib,speed,bould,lead,total
1,COSSER Christopher,RSA,3,1,4,1,4
2,NAUDE David,RSA,10,2,1,3,6
3,CURTIS Calrin,RSA,1,3,2,4,24
4,MARX Oliver,RSA,11,4,6,2,48
5,BARNES James,RSA,2,7,3,5,105
6,FLYNN Tony,RSA,4,5,5,6,150
7,WALLACE Christopher,RSA,7,6,7,7,294
8,GRUNEWALD Matthew,RSA,6,8,8,8,512
