rank,name,from,bib,speed,bould,lead,total
1,STERKENBERG Erin,RSA,5,1,1,1,1
2,DORWARD Georgiana,RSA,6,4,2,2,16
3,OATES Tegwen,RSA,1,3,3,3,27
4,HONEGGER Catherine,RSA,7,2,7,4,56
5,BURWOOD Caitlyn,RSA,3,6,4,6,144
6,MEYER Alyssa,RSA,2,5,5,7,175
7,VISSER Danielle,RSA,4,7,6,5,210
8,KASEMIRE Credo,UGA,8,8,8,8,512
