rank,name,from,bib,speed,bould,lead,total
1,YIP Alannah,CAN,109,5,1,3,15
2,CONTRERAS Alejandra,CHI,103,3,3,4,36
3,BAIR Lauren,USA,107,6,6,1,36
4,ROJAS Andrea,ECU,105,1,8,7,56
5,FRANGOS Rebecca,CAN,110,4,4,5,80
6,CHI Norah,USA,104,8,5,2,80
7,AGUADO Valentina,ARG,101,2,7,6,84
8,HUNT Emma,USA,106,7,2,8,112
