rank,name,from,bib,speed,bould,lead,total
1,STERKENBERG Erin,RSA,5,1,1,1,1
2,DORWARD Georgiana,RSA,6,3,2,2,12
3,HONEGGER Catherine,RSA,7,2,7,4,56
4,OATES Tegwen,RSA,1,4,5,3,60
5,VISSER Danielle,RSA,4,6,4,6,144
6,BURWOOD Caitlyn,RSA,3,7,3,7,147
7,MEYER Alyssa,RSA,2,5,6,5,150
8,KASEMIRE Credo,UGA,8,8,8,8,512
