rank,name,from,speed,bould,lead,total
1,SCHUBERT Jakob,AUT,2,1,2,4
2,ONDRA Adam,CZE,5,2,1,10
3,HOJER Jan,GER,1,4,6,24
4,HARADA Kai,JPN,4,5,3,60
5,NARASAKI Tomoa,JPN,6,3,4,72
6,FUJII Kokoro,JPN,3,6,5,90
