rank,bib,last,first,from,speed,bould,lead,total,event
1,1,LETTNER,Sandra,AUT,3,3,2,18,wf
2,10,LUKAN,Vita,SLO,6,1,3,18,wf
3,5,LAMMER,Laura,AUT,1,4,5,20,wf
4,9,MEUL,Hannah,GER,4,5,1,20,wf
5,2,KRASOVSKAIA,Elena,RUS,2,6,4,48,wf
6,16,NAKAMURA,Mao,JPN,5,2,6,60,wf
