rank,name,from,speed,bould,lead,total
1,NARASAKI Tomoa,JPN,2,1,2,4
2,SCHUBERT Jakob,AUT,7,5,1,35
3,KHAIBULLIN Rishat,KAZ,1,8,5,40
4,HARADA Kai,JPN,3,6,3,54
5,NARASAKI Meichi,JPN,5,2,6,60
6,FUJII Kokoro,JPN,6,3,4,72
7,MAWEM Mickael,FRA,4,4,7,112
8,MEGOS Alexander,GER,8,7,8,448
