f_rank,name,from,bib,f_speed,f_bould,f_lead,f_total,q_speed,q_bould,q_lead,q_total,q_rank
1,MACKENZIE Oceania,AUS,10,1,1,1,1,1,1,1,1,1
2,SCARTH-JOHNSON Angie,AUS,7,3,2,2,12,4,4,3,48,4
3,EASTON Ella,AUS,6,2,3,7,42,2,3,5,30,3
4,DOBIE Siobhan,AUS,3,4,4,4,64,3,2,4,24,2
5,STIRLING Lucinda Ann,AUS,9,7,7,3,147,6,6,2,72,5
6,WEEDA Mia,AUS,2,5,5,6,150,5,8,7,280,6
7,TAN Cirrus,NZL,8,6,8,5,240,7,7,8,392,8
8,JEFFRIES Leah,AUS,5,8,6,8,384,8,5,9,360,7
,PERRY Roxy,AUS,1,,,,,9,9,6,486,9
