rank,name,from,bib,speed,bould,lead,total
1,DUFFY Colin,USA,13,5,2,1,10
2,GALLA Zach,USA,17,1,4,4,16
3,WALLER Zander,USA,15,6,1,3,18
4,BAILEY Sean,USA,16,8,3,2,48
5,GRANJA Carlos,ECU,11,2,5,7,70
6,VALENCIA Danny,ECU,10,3,6,5,90
7,GROSSO Cesar,BRA,5,4,7,6,168
8,SANTOS BUHL José Ramón,MEX,19,7,8,8,448
