rank,name,from,speed,bould,lead,total
1,GARNBRET Janja,SLO,6,2,1,12
2,NOGUCHI Akiyo,JPN,7,1,3,21
3,COXSEY Shauna,GBR,2,3,7,42
4,MIROSLAW Aleksandra,POL,1,8,8,64
5,NONAKA Miho,JPN,4,4,5,80
6,MORI Ai,JPN,8,5,2,80
7,ITO	Futaba,JPN,5,6,4,120
8,KLINGLER Petra,SUI,3,7,6,126
