rank,bib,name,from,speed,bould,lead,total
1,30,NOGUCHI Akiyo,JPN,6,1,2,12
2,45,SA Sol,KOR,1,4,3,12
3,44,KIM Ja In,KOR,5,3,1,15
4,31,ITO Futaba,JPN,4,2,4,32
5,38,MARLENOVA Assel,KAZ,2,6,6,72
6,74,LEE Hungying,TPE,3,5,5,75
