rank,bib,last,first,from,speed,bould,lead,total,event
1,5,DOHI,Keita,JPN,2,1,3,6,mf
2,6,TANAKA,Shuta,JPN,6,3,1,18,mf
3,1,AVEZOU,Sam,FRA,1,5,6,30,mf
4,2,SCHENK,Filip,ITA,4,2,4,32,mf
5,7,PAN,Yufei,CHN,3,6,2,36,mf
6,3,IVANOV,Petar,BUL,5,4,5,100,mf
