rank,bib,name,from,speed,bould,lead,total
1,41,CHON Jongwon,KOR,2,1,3,6
2,29,FUJII Kokoro,JPN,5,3,1,15
3,28,NARASAKI Tomoa,JPN,4,2,2,16
4,35,KHAIBULLIN Rishat,KAZ,1,4,6,24
5,42,KIM Hanwool,KOR,3,5,4,60
6,10,AU Chi Fung,HKG,6,6,5,180
