rank,name,from,bib,speed,bould,lead,total
1,RUBTSOV Aleksei,RUS,5,5,1,4,20
2,LEHMANN Sascha,SUI,19,4,3,2,24
3,LUZHETSKII Sergei,RUS,18,2,5,3,30
4,IARILOVETS Nikolai,RUS,15,3,2,6,36
5,SHEMLA Yuval,ISR,9,8,6,1,48
6,DZIENSKI Marcin,POL,4,1,8,8,64
7,KHAZANOV Alex,ISR,7,7,4,7,196
8,BOSI William,GBR,13,6,7,5,210
